Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19901010  ,-0.64  ,-0.86  ,-0.82  ,-0.76  ,-0.95  ,-0.65
19901011  ,-1.46  ,-1.12  ,-0.96  ,-1.85  ,-1.67  ,-1.70
19901012   ,0.05   ,0.12   ,0.12   ,0.68   ,0.89   ,0.64
19901015   ,0.03   ,0.00  ,-0.42   ,1.78   ,1.34   ,0.68
19901016   ,0.68   ,0.37   ,0.43   ,0.30   ,0.57   ,0.77
19901017   ,0.49   ,0.10  ,-0.13   ,1.18   ,1.00   ,0.63
19901018   ,1.35   ,0.90   ,0.77   ,2.58   ,1.62   ,0.88
19901019   ,1.03   ,0.72   ,0.36   ,1.64   ,1.15   ,1.08
19901022   ,0.59   ,0.12   ,0.01   ,1.53   ,0.86   ,0.81
19901023   ,0.27   ,0.25   ,0.35  ,-0.20  ,-0.24   ,0.06
19901024   ,0.15   ,0.41   ,0.27  ,-0.56  ,-0.38  ,-0.35
19901025   ,0.75   ,0.35   ,0.42   ,1.19   ,0.57   ,0.48
19901026  ,-0.91  ,-0.74  ,-1.05  ,-1.66  ,-1.56  ,-1.60
19901029  ,-0.38  ,-0.29  ,-0.45  ,-0.32  ,-0.14  ,-0.19
19901030  ,-0.58  ,-0.45  ,-0.57  ,-0.40  ,-0.46  ,-0.84
19901031  ,-0.29  ,-0.18  ,-0.22  ,-0.64  ,-0.29  ,-0.37
19901101  ,-0.85  ,-0.47  ,-0.63  ,-1.70  ,-1.20  ,-1.11
19901102   ,0.20   ,0.28   ,0.23   ,1.35   ,0.89   ,0.79
19901105   ,1.37   ,1.02   ,0.98   ,1.73   ,1.46   ,1.28
19901106  ,-0.45  ,-0.27  ,-0.07  ,-0.91  ,-0.76  ,-0.80
19901107  ,-0.91  ,-0.47  ,-0.58  ,-1.76  ,-1.62  ,-1.30
19901108  ,-1.31  ,-0.97  ,-0.65  ,-1.58  ,-1.17  ,-1.41
19901109  ,-0.47   ,0.04  ,-0.12   ,0.46   ,0.34   ,0.44
19901112   ,0.88   ,0.57   ,0.58   ,1.20   ,1.03   ,1.16
19901113   ,0.76   ,0.52   ,0.63   ,1.35   ,1.14   ,1.17
19901114   ,0.47   ,0.22   ,0.31   ,0.35  ,-0.07  ,-0.12
19901115  ,-0.63  ,-0.25  ,-0.38  ,-1.10  ,-0.67  ,-0.50
19901116  ,-0.04   ,0.13   ,0.20  ,-0.66  ,-0.30  ,-0.25
19901119   ,0.46   ,0.32   ,0.27   ,1.26   ,1.19   ,0.92
19901120  ,-0.47  ,-0.30  ,-0.30  ,-0.97  ,-0.67  ,-0.69
19901121  ,-0.47  ,-0.21  ,-0.23  ,-0.37  ,-0.23  ,-0.40
19901122   ,0.32   ,0.26   ,0.09   ,1.11   ,1.20   ,0.85
19901123  ,-0.11   ,0.09  ,-0.01  ,-0.05   ,0.01   ,0.02
19901126  ,-0.24  ,-0.31  ,-0.26  ,-0.30  ,-0.14  ,-0.55
19901127   ,0.62   ,0.46   ,0.33   ,0.22   ,0.10   ,0.26
19901128  ,-0.71  ,-0.57  ,-0.53  ,-1.43  ,-1.42  ,-1.44
19901129  ,-1.41  ,-1.05  ,-1.05  ,-1.82  ,-1.85  ,-1.85
19901130  ,-0.58  ,-0.15  ,-0.02   ,0.25   ,0.11   ,0.03
19901203   ,0.10  ,-0.04   ,0.07   ,0.42   ,0.32   ,0.39
19901204  ,-0.09   ,0.22   ,0.19  ,-0.65  ,-0.61  ,-0.55
19901205   ,0.05   ,0.23   ,0.50   ,0.71   ,0.92   ,0.86
19901206   ,0.86   ,0.93   ,0.99   ,1.89   ,1.66   ,1.60
19901207   ,1.39   ,1.16   ,1.08   ,2.38   ,2.09   ,2.06
19901210   ,0.35   ,0.40   ,0.02   ,0.33   ,0.18   ,0.04
19901211  ,-0.21  ,-0.36  ,-0.44  ,-0.14  ,-0.21  ,-0.41
19901212   ,0.52   ,0.36   ,0.34   ,0.90   ,0.58   ,0.30
19901213   ,0.26   ,0.15   ,0.15   ,0.80   ,0.66   ,0.59
19901214  ,-0.33  ,-0.50  ,-0.42  ,-0.80  ,-0.83  ,-1.11
19901217  ,-0.65  ,-0.74  ,-0.94  ,-1.13  ,-1.06  ,-1.19
19901218  ,-0.16   ,0.13   ,0.11   ,0.76   ,0.63   ,0.71
19901219   ,0.35  ,-0.05   ,0.22   ,0.54   ,0.53   ,0.25
19901220  ,-1.10  ,-1.32  ,-0.92  ,-1.41  ,-1.63  ,-1.71
19901221  ,-0.89  ,-0.74  ,-0.68  ,-0.97  ,-0.98  ,-0.94
19901224  ,-0.53  ,-0.43  ,-0.43  ,-0.56  ,-0.51  ,-0.55
19901225  ,-0.30  ,-0.12  ,-0.12  ,-0.84  ,-0.73  ,-0.79
19901226   ,0.11   ,0.15   ,0.12   ,0.22   ,0.37   ,0.21
19901227   ,0.12   ,0.09  ,-0.11   ,0.02  ,-0.07  ,-0.05
19901228   ,0.79   ,0.87   ,0.78   ,0.64   ,0.68   ,0.74
19901231   ,0.54   ,0.49   ,0.49   ,0.13  ,-0.04  ,-0.19
19910101   ,0.11   ,0.05   ,0.05   ,0.19   ,0.17   ,0.16
19910102  ,-0.24  ,-0.04   ,0.24  ,-0.40  ,-0.24  ,-0.04
19910103  ,-0.28  ,-0.50  ,-0.22  ,-0.22   ,0.00   ,0.15
19910104  ,-0.65  ,-0.45  ,-0.39  ,-0.50  ,-0.42  ,-0.79
19910107  ,-1.78  ,-1.62  ,-1.55  ,-2.23  ,-2.11  ,-1.99
19910108  ,-0.87  ,-1.10  ,-0.78  ,-1.43  ,-1.29  ,-1.13
19910109   ,0.06   ,0.04  ,-0.03   ,0.43   ,0.78   ,0.94
19910110  ,-0.40  ,-0.24  ,-0.14   ,0.41   ,0.05  ,-0.12
19910111  ,-0.05  ,-0.02  ,-0.14   ,0.48   ,0.33   ,0.37
19910114  ,-1.27  ,-1.40  ,-1.27  ,-0.88  ,-1.17  ,-1.26
19910115  ,-0.27  ,-0.35  ,-0.42  ,-0.16  ,-0.27  ,-0.24
19910116  ,-0.33  ,-0.24  ,-0.30  ,-0.95  ,-1.09  ,-1.02
19910117   ,2.87   ,2.85   ,2.63   ,5.29   ,5.07   ,5.21
19910118   ,0.67   ,0.41   ,0.22   ,1.08   ,1.02   ,0.92
19910121   ,0.15   ,0.13   ,0.05  ,-0.57  ,-0.47  ,-0.30
19910122  ,-0.31  ,-0.29  ,-0.19  ,-0.13  ,-0.49  ,-0.49
19910123  ,-0.05   ,0.24   ,0.21  ,-0.24  ,-0.40  ,-0.36
19910124   ,0.45   ,0.70   ,0.53   ,1.47   ,1.10   ,0.98
19910125   ,0.46   ,0.50   ,0.42   ,0.89   ,0.55   ,0.55
19910128   ,0.37   ,0.49   ,0.58   ,0.11   ,0.13   ,0.38
19910129   ,0.25   ,0.39   ,0.39   ,0.06   ,0.08   ,0.27
19910130   ,0.86   ,0.97   ,0.84   ,0.63   ,0.55   ,0.82
19910131   ,1.03   ,1.07   ,1.06   ,0.69   ,0.67   ,0.74
19910201   ,0.51   ,0.57   ,0.68  ,-0.30  ,-0.07   ,0.12
19910204   ,0.97   ,1.05   ,1.38   ,1.15   ,0.97   ,1.25
19910205   ,1.56   ,1.41   ,1.54   ,1.90   ,1.77   ,1.91
19910206   ,1.64   ,1.32   ,1.19   ,1.88   ,1.70   ,1.12
19910207   ,0.17   ,0.31   ,0.21   ,0.16   ,0.82   ,0.59
19910208   ,0.62   ,0.29   ,0.28   ,0.60   ,0.68   ,0.75
19910211   ,1.17   ,1.34   ,1.39   ,1.45   ,1.36   ,1.49
