Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19970728  ,-0.26  ,-0.09  ,-0.11  ,-0.54  ,-0.06   ,0.03
19970729  ,-0.17  ,-0.03  ,-0.17   ,0.03   ,0.09   ,0.08
19970730   ,0.33   ,0.36   ,0.29   ,0.65   ,1.05   ,0.66
19970731   ,0.12   ,0.20   ,0.08   ,0.10   ,0.27   ,0.34
19970801  ,-0.55  ,-0.45  ,-0.47  ,-0.85  ,-1.16  ,-0.94
19970804   ,0.04  ,-0.02  ,-0.11  ,-0.29  ,-0.19  ,-0.34
19970805  ,-0.13  ,-0.07  ,-0.43  ,-0.11  ,-0.19  ,-0.35
19970806   ,0.32   ,0.35   ,0.31   ,1.00   ,0.98   ,0.95
19970807  ,-0.08  ,-0.01  ,-0.09  ,-0.37   ,0.03   ,0.09
19970808   ,0.22   ,0.15   ,0.39  ,-0.36  ,-0.50  ,-0.22
19970811  ,-0.60  ,-0.80  ,-0.90  ,-1.37  ,-0.58  ,-0.92
19970812  ,-0.13  ,-0.01   ,0.14  ,-0.47  ,-0.07  ,-0.15
19970813   ,0.33   ,0.27   ,0.41  ,-0.28  ,-0.31   ,0.03
19970814   ,0.08  ,-0.09  ,-0.18   ,0.10  ,-0.32  ,-0.36
19970815   ,0.09   ,0.24   ,0.13  ,-1.33  ,-1.14  ,-0.49
19970818  ,-0.78  ,-0.87  ,-0.84  ,-0.16  ,-0.20  ,-0.58
19970819   ,0.70   ,0.65   ,0.31   ,1.00   ,1.06   ,0.86
19970820   ,0.83   ,0.72   ,0.71   ,1.19   ,1.02   ,0.92
19970821   ,0.29   ,0.33   ,0.28  ,-0.63  ,-0.36  ,-0.40
19970822  ,-0.41  ,-0.43  ,-0.36  ,-1.28  ,-0.88  ,-0.94
19970825   ,0.49   ,0.26   ,0.32  ,-0.36   ,0.00   ,0.10
19970826   ,0.26   ,0.34   ,0.40  ,-0.20  ,-0.22   ,0.02
19970827   ,0.00  ,-0.07  ,-0.08  ,-0.32  ,-0.20  ,-0.47
19970828  ,-0.11  ,-0.09  ,-0.03  ,-1.08  ,-0.79  ,-0.56
19970829  ,-0.54  ,-0.68  ,-0.67  ,-0.98  ,-1.05  ,-1.13
19970901  ,-0.38  ,-0.33  ,-0.49  ,-0.29  ,-0.05  ,-0.32
19970902   ,0.18   ,0.14  ,-0.03   ,1.88   ,1.70   ,1.35
19970903   ,0.63   ,0.70   ,1.04   ,1.06   ,0.91   ,1.11
19970904   ,0.06   ,0.03  ,-0.12  ,-0.02  ,-0.04   ,0.01
19970905   ,0.92   ,0.69   ,0.55   ,0.26   ,0.48   ,0.36
19970908   ,0.35   ,0.39   ,0.32  ,-0.02   ,0.08   ,0.05
19970909   ,0.54   ,0.51   ,0.79   ,0.46   ,0.30   ,0.43
19970910   ,0.06  ,-0.01   ,0.05  ,-1.21  ,-0.78  ,-0.43
19970911  ,-0.16  ,-0.16  ,-0.22  ,-0.98  ,-0.91  ,-0.85
19970912   ,0.17   ,0.28   ,0.04   ,0.32   ,0.37   ,0.21
19970915   ,0.28   ,0.39   ,0.51   ,0.09   ,0.47   ,0.56
19970916  ,-0.02  ,-0.02  ,-0.13   ,1.32   ,1.24   ,1.15
19970917   ,0.09   ,0.16  ,-0.05   ,0.06   ,0.06   ,0.15
19970918   ,0.09  ,-0.08  ,-0.26   ,0.33   ,0.45   ,0.39
19970919   ,0.34   ,0.19   ,0.03   ,0.25   ,0.18   ,0.15
19970922   ,0.09   ,0.04  ,-0.04   ,0.86   ,0.56   ,0.51
19970923   ,0.07   ,0.13   ,0.10  ,-0.08  ,-0.34  ,-0.27
19970924   ,0.40   ,0.49   ,0.61   ,0.50   ,0.52   ,0.56
19970925   ,0.21   ,0.08   ,0.13  ,-0.29  ,-0.18  ,-0.14
19970926  ,-0.42  ,-0.33  ,-0.31   ,0.34   ,0.19   ,0.31
19970929   ,0.04   ,0.04  ,-0.23   ,0.39   ,0.35   ,0.21
19970930   ,0.71   ,0.41   ,0.31  ,-0.10   ,0.22   ,0.33
19971001  ,-0.12  ,-0.17  ,-0.27   ,0.39   ,0.57   ,0.35
19971002   ,0.08   ,0.07   ,0.05   ,0.03  ,-0.12   ,0.31
19971003   ,0.54   ,0.53   ,0.58   ,0.62   ,0.85   ,0.85
19971006   ,0.40   ,0.25   ,0.19   ,0.43   ,0.36   ,0.32
19971007   ,0.44   ,0.22   ,0.01   ,0.44   ,0.19   ,0.02
19971008   ,0.46   ,0.45   ,0.23  ,-0.04  ,-0.22  ,-0.20
19971009   ,0.02  ,-0.06  ,-0.46  ,-0.86  ,-0.97  ,-0.85
19971010   ,0.16   ,0.18   ,0.23  ,-0.13  ,-0.14  ,-0.19
19971013  ,-0.10  ,-0.14  ,-0.15  ,-0.19   ,0.31   ,0.26
19971014  ,-0.54  ,-0.21  ,-0.19   ,0.00   ,0.00   ,0.15
19971015  ,-0.29  ,-0.29  ,-0.19  ,-0.23  ,-0.25  ,-0.40
19971016  ,-0.26  ,-0.45   ,0.06  ,-0.05  ,-0.29   ,0.12
19971017  ,-1.40  ,-1.33  ,-1.13  ,-1.37  ,-1.47  ,-1.42
19971020   ,0.45   ,0.28   ,0.22   ,0.20   ,0.43   ,0.19
19971021   ,0.24   ,0.21   ,0.19   ,0.93   ,0.80   ,0.79
19971022   ,0.01   ,0.11   ,0.24  ,-0.18  ,-0.12  ,-0.16
19971023  ,-1.85  ,-1.70  ,-1.47  ,-2.47  ,-2.17  ,-1.96
19971024  ,-0.46  ,-0.49   ,0.08  ,-0.55  ,-0.58  ,-0.32
19971027  ,-3.99  ,-3.51  ,-2.74  ,-4.56  ,-4.10  ,-3.69
19971028  ,-0.81  ,-1.12  ,-1.25   ,1.19   ,0.19  ,-0.71
19971029   ,2.42   ,2.44   ,2.34   ,1.71   ,2.28   ,2.68
19971030  ,-1.01  ,-0.91  ,-0.61  ,-1.62  ,-1.48  ,-1.51
19971031   ,0.72   ,0.72   ,0.74   ,0.88   ,0.84   ,0.66
19971103   ,1.25   ,1.11   ,0.85   ,1.74   ,1.70   ,1.55
19971104   ,0.05   ,0.20   ,0.13   ,0.31   ,0.22   ,0.11
19971105   ,0.15   ,0.13  ,-0.08   ,0.12   ,0.16   ,0.18
19971106  ,-0.38  ,-0.50  ,-0.44  ,-0.60  ,-0.59  ,-0.44
19971107  ,-1.45  ,-1.35  ,-1.30  ,-1.86  ,-1.74  ,-1.80
19971110  ,-0.41  ,-0.12  ,-0.11  ,-0.58  ,-0.10  ,-0.02
19971111  ,-0.45  ,-0.32  ,-0.24   ,0.20  ,-0.03  ,-0.06
19971112  ,-2.11  ,-1.88  ,-1.61  ,-2.07  ,-1.85  ,-1.85
19971113  ,-0.28  ,-0.26  ,-0.23   ,0.68   ,0.49   ,0.23
19971114   ,0.35   ,0.21   ,0.07   ,0.66   ,0.44   ,0.10
19971117   ,1.29   ,1.15   ,0.99   ,2.77   ,2.49   ,2.34
19971118  ,-0.39  ,-0.30  ,-0.11  ,-0.30  ,-0.01  ,-0.07
19971119  ,-0.76  ,-0.78  ,-0.78  ,-0.53  ,-0.58  ,-0.72
19971120   ,0.53   ,0.31   ,0.35   ,1.55   ,1.35   ,1.15
19971121   ,0.08   ,0.25   ,0.26   ,1.21   ,0.93   ,0.79
19971124  ,-1.27  ,-1.03  ,-0.80  ,-1.43  ,-1.62  ,-1.06
19971125  ,-1.50  ,-1.32  ,-1.16  ,-0.87  ,-0.93  ,-0.83
19971126  ,-0.27  ,-0.33  ,-0.37   ,0.23   ,0.34   ,0.07
19971127  ,-0.11  ,-0.17  ,-0.19   ,0.57   ,0.28   ,0.16
19971128   ,0.59   ,0.42   ,0.22   ,0.18   ,0.33   ,0.40
19971201   ,0.42   ,0.22   ,0.41   ,1.58   ,1.63   ,1.64
19971202  ,-0.27  ,-0.10   ,0.15  ,-0.04  ,-0.03   ,0.31
19971203  ,-0.12   ,0.13  ,-0.03   ,0.16   ,0.26  ,-0.02
19971204  ,-0.27  ,-0.19  ,-0.14  ,-0.16  ,-0.11  ,-0.03
19971205   ,0.03  ,-0.05  ,-0.03   ,0.67   ,0.48   ,0.26
19971208   ,0.40   ,0.22   ,0.10  ,-0.14   ,0.03   ,0.24
19971209  ,-0.45  ,-0.33  ,-0.10  ,-0.25  ,-0.16   ,0.44
19971210  ,-0.99  ,-0.68  ,-0.39  ,-0.80  ,-0.83  ,-0.40
19971211  ,-1.38  ,-1.09  ,-0.64  ,-1.61  ,-1.36  ,-1.21
19971212  ,-0.77  ,-0.77  ,-0.47  ,-0.71  ,-0.43  ,-0.21
19971215  ,-0.99  ,-0.71  ,-0.33   ,0.26   ,0.34   ,0.27
19971216   ,0.50   ,0.19   ,0.03   ,0.94   ,0.74   ,0.37
19971217   ,0.99   ,0.78   ,0.92   ,0.90   ,0.82   ,1.12
19971218  ,-0.91  ,-0.86  ,-0.72  ,-1.01  ,-0.74  ,-0.80
19971219  ,-0.80  ,-0.83  ,-1.12  ,-1.65  ,-1.72  ,-1.59
19971222  ,-0.63  ,-0.53  ,-0.58  ,-0.07  ,-0.14  ,-0.07
19971223   ,0.07   ,0.19   ,0.34  ,-0.54  ,-0.40  ,-0.24
19971224  ,-0.29  ,-0.10  ,-0.25  ,-0.47  ,-0.17  ,-0.22
19971225   ,0.26   ,0.20   ,0.24   ,0.41   ,0.19   ,0.22
19971226   ,0.02  ,-0.03  ,-0.09  ,-0.07   ,0.05  ,-0.07
19971229   ,0.30   ,0.23   ,0.28   ,1.74   ,1.34   ,1.07
19971230   ,1.19   ,0.90   ,0.99   ,1.57   ,1.19   ,1.39
19971231   ,0.60   ,0.42   ,0.37  ,-0.21   ,0.02   ,0.08
19980101   ,0.02   ,0.00   ,0.00   ,0.02   ,0.01  ,-0.01
19980102   ,0.03   ,0.03  ,-0.09   ,0.34   ,0.29  ,-0.05
19980105  ,-0.13  ,-0.16  ,-0.14   ,0.03  ,-0.03   ,0.28
19980106  ,-0.81  ,-1.05  ,-1.12  ,-0.93  ,-1.30  ,-0.76
19980107  ,-0.09  ,-0.07  ,-0.13   ,0.12   ,0.06  ,-0.20
19980108  ,-0.61  ,-0.60  ,-0.52  ,-0.53  ,-1.04  ,-1.02
19980109  ,-1.60  ,-1.38  ,-1.37  ,-2.27  ,-2.13  ,-1.97
19980112  ,-1.40  ,-1.45  ,-1.14  ,-0.31  ,-0.87  ,-1.11
19980113   ,1.78   ,1.37   ,0.92   ,1.40   ,1.54   ,1.49
19980114   ,0.53   ,0.64   ,0.88   ,0.91   ,0.89   ,0.94
19980115  ,-0.10  ,-0.11  ,-0.11  ,-0.42  ,-0.20  ,-0.47
19980116   ,1.06   ,0.97   ,1.22   ,1.90   ,1.50   ,1.47
19980119   ,0.80   ,0.67   ,0.74   ,0.82   ,0.56   ,0.73
19980120   ,1.08   ,0.64   ,0.64   ,1.33   ,0.77   ,0.84
19980121   ,0.63   ,0.40   ,0.71   ,0.04   ,0.07   ,0.28
19980122  ,-0.28  ,-0.38  ,-0.19  ,-0.67  ,-0.65  ,-0.43
19980123   ,0.71   ,0.95   ,0.89   ,0.39   ,0.20   ,0.56
19980126  ,-0.28  ,-0.10   ,0.41   ,0.07   ,0.06   ,0.33
19980127   ,0.66   ,0.67   ,0.89   ,1.16   ,1.17   ,0.90
19980128   ,1.02   ,0.72   ,0.86   ,0.71   ,0.39   ,0.40
19980129  ,-0.06  ,-0.26  ,-0.44   ,0.33   ,0.22   ,0.01
19980130  ,-0.49  ,-0.25  ,-0.48  ,-0.49  ,-0.16  ,-0.43
19980202   ,1.24   ,0.92   ,0.83   ,2.44   ,1.80   ,1.71
19980203   ,0.66   ,0.85   ,0.92   ,0.43   ,0.80   ,0.64
19980204   ,0.78   ,1.01   ,0.68   ,0.23   ,0.42   ,0.30
19980205   ,0.68   ,0.77   ,0.90   ,0.07   ,0.35   ,0.53
19980206   ,0.15   ,0.12   ,0.25   ,0.24   ,0.14   ,0.49
19980209   ,0.40   ,0.26   ,0.56  ,-0.13  ,-0.04   ,0.29
19980210   ,0.89   ,0.90   ,1.08   ,0.67   ,0.65   ,0.84
19980211  ,-0.05  ,-0.02   ,0.14   ,0.08   ,0.07   ,0.25
19980212   ,0.09   ,0.21   ,0.13  ,-0.07  ,-0.04  ,-0.04
19980213  ,-0.13  ,-0.24  ,-0.45  ,-0.45  ,-0.37  ,-0.66
19980216  ,-0.34  ,-0.39  ,-0.45  ,-0.05  ,-0.04  ,-0.12
19980217  ,-0.15  ,-0.05  ,-0.03   ,0.22   ,0.43   ,0.66
19980218   ,0.28   ,0.24   ,0.28   ,0.52   ,0.58   ,0.34
19980219   ,0.33   ,0.34   ,0.19   ,0.07  ,-0.15  ,-0.09
19980220  ,-0.24  ,-0.23  ,-0.31   ,0.13   ,0.12   ,0.00
19980223   ,0.66   ,0.45   ,0.50   ,0.69   ,0.27   ,0.53
19980224  ,-0.38  ,-0.10  ,-0.09  ,-1.07  ,-0.40  ,-0.33
19980225   ,0.35   ,0.21   ,0.19   ,1.09   ,0.81   ,0.71
19980226   ,0.93   ,0.97   ,0.90   ,0.83   ,0.91   ,0.69
19980227   ,0.80   ,0.57   ,0.73   ,0.35   ,0.45   ,0.54
19980302   ,0.53   ,0.64   ,0.88   ,0.39   ,0.79   ,0.80
19980303  ,-0.08   ,0.06   ,0.25  ,-0.12   ,0.24   ,0.30
19980304  ,-0.21  ,-0.22  ,-0.24  ,-0.66  ,-0.88  ,-0.51
19980305  ,-1.33  ,-1.24  ,-1.13  ,-1.54  ,-1.25  ,-0.98
19980306   ,1.19   ,1.17   ,0.93   ,1.95   ,1.57   ,1.53
19980309  ,-0.06  ,-0.10   ,0.32  ,-0.02   ,0.07   ,0.31
19980310   ,0.61   ,0.49   ,0.48   ,0.74   ,0.62   ,0.80
19980311   ,0.25   ,0.28   ,0.13  ,-0.09   ,0.30   ,0.20
19980312   ,0.34   ,0.30   ,0.17  ,-0.02   ,0.14   ,0.00
19980313   ,1.01   ,0.87   ,1.02   ,0.68   ,0.76   ,0.84
19980316   ,0.40  ,-0.01   ,0.08   ,0.12   ,0.38   ,0.65
19980317   ,0.12   ,0.06   ,0.25   ,0.32   ,0.40   ,0.68
19980318  ,-0.37  ,-0.22  ,-0.36  ,-0.26  ,-0.04  ,-0.23
19980319   ,0.20   ,0.22   ,0.19   ,0.21   ,0.45   ,0.45
19980320   ,0.17   ,0.42   ,0.47   ,0.46   ,0.91   ,0.77
19980323   ,0.08   ,0.49   ,0.17  ,-0.04   ,0.22  ,-0.20
19980324   ,0.06   ,0.15   ,0.25   ,0.46   ,0.66   ,0.68
19980325   ,0.52   ,0.38   ,0.54   ,0.18   ,0.27   ,0.54
19980326   ,0.36   ,0.44   ,0.41   ,0.35  ,-0.05   ,0.08
19980327  ,-0.05  ,-0.10   ,0.04  ,-0.43  ,-0.14  ,-0.24
19980330  ,-0.41  ,-0.70  ,-0.62  ,-0.63  ,-1.06  ,-1.00
19980331   ,0.18   ,0.13   ,0.11   ,0.63   ,0.39   ,0.44
19980401   ,0.00  ,-0.06  ,-0.15   ,0.40   ,0.39  ,-0.01
19980402  ,-0.14  ,-0.35  ,-0.41   ,0.24   ,0.29   ,0.37
19980403   ,0.25   ,0.19   ,0.14   ,0.07   ,0.23   ,0.37
19980406   ,0.00   ,0.14   ,0.46  ,-0.09   ,1.01   ,1.05
19980407  ,-0.71  ,-0.43  ,-0.20  ,-0.44  ,-0.76  ,-0.45
19980408   ,0.85   ,0.81   ,0.52   ,0.40   ,0.07   ,0.24
19980409   ,0.56   ,0.39   ,0.46   ,0.57   ,0.45   ,0.63
19980410   ,0.25   ,0.23   ,0.44   ,0.32   ,0.24   ,0.26
19980413  ,-0.42  ,-0.15  ,-0.06  ,-0.40  ,-0.18   ,0.19
19980414   ,0.96   ,1.03   ,1.00   ,0.61   ,1.04   ,1.15
19980415   ,0.46   ,0.34   ,0.30  ,-0.02   ,0.24   ,0.33
19980416  ,-0.33  ,-0.28  ,-0.67  ,-1.23  ,-0.98  ,-0.96
19980417  ,-0.13   ,0.01   ,0.10   ,0.57   ,0.30   ,0.21
19980420   ,0.45   ,0.55   ,0.45   ,0.56   ,0.39   ,0.00
19980421   ,0.61   ,0.70   ,0.56   ,0.38   ,0.45   ,0.12
19980422  ,-0.12   ,0.07  ,-0.02   ,0.04  ,-0.08  ,-0.17
19980423  ,-0.74  ,-0.66  ,-0.60  ,-0.70  ,-0.77  ,-1.08
19980424  ,-0.37  ,-0.53  ,-0.44  ,-0.58  ,-0.89  ,-0.80
19980427  ,-1.69  ,-1.84  ,-2.06  ,-2.21  ,-2.20  ,-2.62
19980428   ,0.43   ,0.12   ,0.24   ,0.23   ,0.45   ,0.39
19980429   ,0.59   ,0.56   ,0.49   ,0.55   ,0.23   ,0.21
19980430   ,0.80   ,0.87   ,0.76   ,1.75   ,1.64   ,1.51
19980501   ,0.29   ,0.31   ,0.27   ,0.15   ,1.22   ,0.68
19980504   ,0.48   ,0.33   ,0.67   ,0.59   ,0.59   ,0.83
19980505  ,-0.19  ,-0.09   ,0.01  ,-0.27  ,-0.49  ,-0.34
19980506  ,-0.31  ,-0.34  ,-0.27  ,-0.82  ,-0.61  ,-0.53
19980507  ,-0.62  ,-0.65  ,-0.54  ,-1.19  ,-0.98  ,-0.71
19980508   ,0.50   ,0.44   ,0.28   ,1.06   ,0.55   ,0.54
19980511  ,-0.20  ,-0.04   ,0.09   ,0.39   ,0.46   ,0.55
19980512  ,-0.06  ,-0.18  ,-0.22   ,0.16  ,-0.08  ,-0.15
19980513   ,0.01   ,0.06   ,0.03   ,0.12   ,0.19  ,-0.01
19980514  ,-0.16  ,-0.16  ,-0.18  ,-0.24  ,-0.03  ,-0.17
19980515  ,-0.40  ,-0.46  ,-0.31  ,-0.87  ,-0.44  ,-0.30
19980518  ,-0.86  ,-0.68  ,-0.68  ,-0.60  ,-0.82  ,-0.86
19980519   ,0.35   ,0.30   ,0.44   ,0.79   ,0.58   ,0.58
19980520   ,0.31   ,0.33   ,0.44   ,0.70   ,0.89   ,1.04
19980521   ,0.24   ,0.37   ,0.54   ,0.00   ,0.35   ,0.60
19980522  ,-0.41  ,-0.36  ,-0.16  ,-0.30  ,-0.25  ,-0.09
19980525   ,0.09   ,0.04   ,0.05   ,0.03   ,0.21   ,0.17
19980526  ,-0.98  ,-0.87  ,-0.76  ,-0.83  ,-0.81  ,-0.57
19980527  ,-1.34  ,-1.37  ,-1.32  ,-0.61  ,-1.34  ,-1.61
19980528   ,0.62   ,0.43   ,0.34  ,-0.07   ,0.42   ,0.30
19980529   ,0.18   ,0.18   ,0.26  ,-0.44  ,-0.12  ,-0.08
19980601  ,-1.01  ,-0.81  ,-0.59  ,-0.70  ,-0.26  ,-0.15
19980602  ,-0.03  ,-0.07   ,0.00   ,0.51   ,0.28   ,0.68
19980603  ,-0.19   ,0.13   ,0.16  ,-0.32  ,-0.04  ,-0.02
19980604   ,0.05   ,0.09   ,0.05   ,0.76   ,0.19   ,0.11
19980605   ,0.05   ,0.01   ,0.07   ,1.21   ,1.07   ,0.47
19980608   ,0.21   ,0.02   ,0.03   ,0.15   ,0.32   ,0.26
19980609   ,0.21  ,-0.03  ,-0.15   ,0.41  ,-0.11  ,-0.19
19980610  ,-1.22  ,-1.28  ,-0.86  ,-0.99  ,-0.77  ,-0.72
19980611  ,-1.46  ,-1.31  ,-1.42  ,-2.00  ,-1.82  ,-1.66
19980612  ,-0.49  ,-0.48  ,-0.58  ,-0.14  ,-0.49  ,-0.55
19980615  ,-1.94  ,-1.67  ,-1.69  ,-1.89  ,-1.98  ,-1.87
19980616   ,0.91   ,0.60   ,0.58   ,1.14   ,0.91   ,0.77
19980617   ,1.95   ,1.81   ,1.75   ,2.46   ,2.33   ,2.31
19980618  ,-0.13  ,-0.19  ,-0.06   ,0.43  ,-0.40  ,-0.17
19980619   ,0.02  ,-0.11   ,0.02  ,-0.52  ,-0.30  ,-0.23
19980622  ,-0.23  ,-0.21  ,-0.26   ,0.02  ,-0.21  ,-0.52
19980623   ,0.02  ,-0.10  ,-0.12   ,0.92   ,0.73   ,0.11
19980624   ,0.34   ,0.23   ,0.01   ,0.93   ,0.61   ,0.43
19980625   ,0.28   ,0.02   ,0.13   ,0.04   ,0.55   ,0.47
19980626  ,-0.13  ,-0.28  ,-0.21   ,0.34  ,-0.26  ,-0.02
19980629   ,0.55   ,0.33   ,0.35   ,0.67   ,0.53   ,0.72
19980630   ,0.85   ,0.69   ,0.86   ,0.23   ,0.09   ,0.55
19980701   ,0.28   ,0.47   ,1.05   ,1.19   ,1.52   ,1.26
19980702  ,-0.14  ,-0.10  ,-0.22  ,-0.32   ,0.08  ,-0.07
19980703   ,0.14   ,0.13   ,0.23   ,0.26   ,0.26   ,0.23
19980706   ,0.16   ,0.12   ,0.27   ,0.57   ,0.27   ,0.48
19980707  ,-0.08   ,0.12   ,0.29   ,0.18   ,0.13   ,0.34
19980708   ,0.13  ,-0.03  ,-0.31   ,0.73   ,0.54   ,0.49
19980709  ,-0.32  ,-0.36  ,-0.68  ,-0.67  ,-0.79  ,-0.69
19980710  ,-0.19  ,-0.30  ,-0.52   ,0.04  ,-0.08   ,0.00
19980713   ,0.31   ,0.09   ,0.31   ,0.65   ,0.48   ,0.46
19980714   ,0.28   ,0.23   ,0.44   ,1.01   ,0.97   ,1.00
19980715   ,0.51   ,0.48   ,0.21   ,0.25   ,0.23   ,0.20
19980716   ,0.68   ,0.57   ,0.37   ,0.89   ,0.38   ,0.35
19980717   ,0.38   ,0.21   ,0.21   ,0.56   ,0.59   ,0.48
19980720   ,0.42  ,-0.04   ,0.03   ,0.29  ,-0.07   ,0.07
19980721  ,-0.80  ,-0.80  ,-0.78  ,-1.25  ,-1.15  ,-1.26
19980722  ,-0.79  ,-0.98  ,-1.05  ,-0.85  ,-0.89  ,-0.99
19980723  ,-0.98  ,-1.23  ,-0.98  ,-1.54  ,-1.01  ,-1.12
19980724  ,-0.40  ,-0.38  ,-0.30   ,0.09  ,-0.42  ,-0.34
19980727  ,-1.13  ,-1.29  ,-1.29  ,-0.52  ,-0.86  ,-0.93
19980728  ,-0.33  ,-0.23   ,0.02  ,-0.62  ,-0.32  ,-0.34
19980729  ,-0.64  ,-0.56  ,-0.61  ,-0.65  ,-0.38  ,-0.48
19980730   ,0.02   ,0.09  ,-0.14   ,1.29   ,0.59   ,0.72
19980731  ,-0.81  ,-0.81  ,-0.69  ,-1.34  ,-0.98  ,-0.92
19980803  ,-1.64  ,-1.29  ,-1.13  ,-0.97  ,-1.57  ,-1.18
19980804  ,-1.05  ,-1.14  ,-0.76  ,-2.20  ,-1.33  ,-1.60
19980805  ,-1.37  ,-0.97  ,-0.67   ,0.03  ,-0.89  ,-0.33
19980806   ,0.86   ,0.46   ,0.14   ,0.47  ,-0.65  ,-0.23
19980807   ,1.11   ,0.62   ,0.06   ,0.09   ,0.81   ,0.24
19980810  ,-0.53  ,-0.74  ,-0.86  ,-0.79  ,-1.25  ,-1.16
19980811  ,-2.80  ,-2.27  ,-2.10  ,-1.82  ,-2.30  ,-2.91
19980812   ,0.84   ,0.73   ,0.50   ,1.09   ,1.20   ,1.52
19980813  ,-1.00  ,-0.77  ,-0.29  ,-0.74  ,-0.57  ,-0.76
19980814  ,-0.44  ,-0.54  ,-0.47  ,-0.81  ,-0.32  ,-0.63
19980817  ,-0.44  ,-0.39  ,-0.59   ,1.17   ,0.62   ,0.23
19980818   ,1.15   ,1.02   ,0.82   ,2.00   ,2.00   ,1.87
19980819   ,0.18  ,-0.12   ,0.36   ,0.37   ,0.24   ,0.18
19980820  ,-0.45  ,-0.36  ,-0.30  ,-0.37  ,-0.89  ,-0.81
19980821  ,-1.41  ,-1.33  ,-1.29  ,-1.52  ,-2.30  ,-2.16
19980824  ,-0.80  ,-0.77  ,-0.71   ,0.48  ,-0.10  ,-0.18
19980825  ,-0.49  ,-0.50  ,-0.24   ,0.85   ,0.93   ,0.52
19980826  ,-2.02  ,-2.00  ,-1.78  ,-0.89  ,-2.20  ,-1.99
19980827  ,-3.06  ,-2.57  ,-2.30  ,-3.08  ,-3.57  ,-3.75
19980828  ,-1.52  ,-1.14  ,-1.21  ,-1.13  ,-0.65  ,-0.95
19980831  ,-2.71  ,-2.13  ,-1.13  ,-4.62  ,-2.40  ,-2.81
19980901  ,-0.01   ,0.47   ,0.36   ,2.15   ,0.81   ,0.99
19980902   ,1.75   ,1.02   ,0.74   ,0.43   ,1.04   ,1.54
19980903  ,-0.50  ,-0.32  ,-0.08  ,-0.25  ,-0.83  ,-1.11
19980904   ,0.02   ,0.17  ,-0.14  ,-0.44   ,0.09  ,-0.92
19980907   ,0.84   ,0.88   ,1.56   ,1.21   ,1.48   ,1.33
19980908   ,2.19   ,1.77   ,1.11   ,3.33   ,2.45   ,2.99
19980909  ,-1.06  ,-1.27  ,-1.52  ,-1.62  ,-1.40  ,-1.68
19980910  ,-1.18  ,-0.67  ,-0.34  ,-1.89  ,-2.06  ,-2.28
19980911   ,0.51   ,0.25   ,0.14   ,1.25   ,0.74   ,0.31
19980914   ,1.20   ,0.84   ,0.63   ,1.93   ,2.04   ,2.54
19980915  ,-0.22  ,-0.26  ,-0.25   ,0.08   ,0.14   ,0.35
19980916   ,0.63   ,0.38   ,0.24   ,0.66   ,0.74   ,1.20
19980917  ,-1.29  ,-1.02  ,-0.76  ,-2.41  ,-2.84  ,-2.55
19980918   ,0.20   ,0.29   ,0.15  ,-0.26  ,-0.53  ,-0.47
19980921  ,-1.42  ,-1.37  ,-1.64  ,-0.85  ,-1.74  ,-1.43
19980922   ,0.83   ,0.67   ,0.43   ,1.02   ,1.15   ,1.00
19980923   ,1.24   ,0.98   ,0.62   ,2.61   ,2.87   ,2.32
19980924   ,0.05  ,-0.01   ,0.49  ,-0.76  ,-1.07  ,-1.05
19980925  ,-0.85  ,-0.89  ,-1.07  ,-0.54  ,-1.00  ,-1.00
19980928   ,0.35   ,0.23   ,0.48   ,0.95   ,0.81   ,1.08
19980929  ,-0.19  ,-0.23  ,-0.24   ,0.07  ,-0.07  ,-0.29
19980930  ,-0.83  ,-0.78  ,-1.12  ,-2.68  ,-2.40  ,-2.56
19981001  ,-3.17  ,-2.15  ,-1.99  ,-3.30  ,-2.99  ,-3.04
19981002  ,-1.50  ,-0.75  ,-0.41  ,-0.31  ,-0.11   ,0.04
19981005  ,-2.68  ,-2.20  ,-1.33  ,-1.82  ,-1.06  ,-1.63
19981006  ,-0.04   ,0.07   ,0.56   ,1.03   ,2.03   ,1.68
19981007   ,0.07   ,0.80   ,2.71   ,0.76   ,0.49   ,0.62
19981008  ,-2.95  ,-2.62  ,-2.07  ,-2.10  ,-2.70  ,-2.55
19981009   ,1.45   ,1.17   ,1.00   ,1.87   ,2.00   ,2.60
19981012   ,1.74   ,1.31   ,1.20   ,2.81   ,2.55   ,2.05
19981013  ,-0.55  ,-0.62  ,-1.12  ,-0.63   ,0.24   ,0.11
19981014   ,0.63   ,0.67   ,0.16   ,1.18   ,0.85   ,1.11
19981015   ,2.74   ,2.14   ,1.84   ,3.41   ,2.66   ,3.19
19981016   ,2.28   ,1.72   ,1.57   ,1.53   ,1.70   ,1.56
19981019   ,1.43   ,1.18   ,1.29   ,0.41   ,0.01   ,0.30
19981020   ,1.17   ,1.00   ,0.68   ,0.25   ,1.78   ,1.41
19981021   ,0.10   ,0.52   ,0.58   ,0.67  ,-0.92  ,-0.42
19981022   ,1.12   ,1.03   ,0.67   ,0.96  ,-0.15   ,0.30
19981023   ,0.11   ,0.04  ,-0.17  ,-0.34  ,-0.38  ,-1.03
19981026   ,0.06   ,0.06  ,-0.32  ,-0.33  ,-0.44  ,-0.40
